Job_title,Salary_In_USD,Large_size,Mid_Level,Senior_Level,Exec_Level,Company_Location
Data Engineer,73701,0,1,0,0,0
Machine Learning Engineer,74000,0,1,0,0,0
Data Engineer,74130,1,1,0,0,0
Data Scientist,74286,1,0,0,0,0
Data Engineer,74313,0,1,0,0,0
Data Engineer,74313,0,1,0,0,0
Data Engineer,74313,0,1,0,0,0
Data Engineer,74313,0,1,0,0,0
Data Engineer,74313,0,0,1,0,0
Financial Data Analyst,75000,0,1,0,0,1
Applied Machine Learning Scientist,75000,0,1,0,0,1
Data Analyst,75000,0,1,0,0,0
Applied Machine Learning Scientist,75000,1,1,0,0,1
Principal Data Analyst,75000,0,1,0,0,0
Data Analyst,75000,1,1,0,0,1
Data Engineer,75050,1,1,0,0,0
Data Scientist,75774,1,1,0,0,0
Data Scientist,75806,0,1,0,0,0
BI Analyst,76000,1,0,0,0,1
Data Science Consultant,76833,0,0,0,0,0
Data Science Consultant,76833,1,0,0,0,0
Data Engineer,76833,0,0,1,0,0
Data Scientist,76958,0,1,0,0,0
Head of Machine Learning,76967,1,0,0,1,0
Applied Machine Learning Scientist,77280,1,0,1,0,0
ML Engineer,77364,0,1,0,0,0
Machine Learning Developer,77382,0,1,0,0,0
Machine Learning Developer,77382,0,0,1,0,0
Data Scientist,77684,0,0,1,0,0
Data Scientist,78000,0,1,0,0,1
Analytics Engineer,78000,0,1,0,0,0
Data Engineer,78000,0,1,0,0,0
BI Analyst,78000,0,1,0,0,0
Data Scientist,78000,0,1,0,0,1
Data Analytics Engineer,79197,1,0,1,0,0
Data Engineering Manager,79833,1,0,0,1,0
Data Scientist,79833,1,1,0,0,0
Data Analyst,80000,0,0,1,0,1
Data Analyst,80000,0,1,0,0,1
Data Scientist,80000,1,0,0,0,1
Data Engineer,80000,0,0,1,0,1
Data Engineer,80000,1,0,0,0,1
Data Engineer,80000,1,0,1,0,1
Data Scientist,80000,0,0,1,0,1
Data Analyst,80000,0,0,1,0,1
Data Engineer,80000,0,0,1,0,1
Data Scientist,80000,0,0,0,0,1
Data Engineer,80000,1,0,0,0,1
Data Analyst,80000,0,0,1,0,1
Data Analyst,80000,0,0,0,0,1
Data Analyst,80000,1,1,0,0,1
Data Engineer,80505,0,1,0,0,0
Data Engineer,80505,0,1,0,0,0
Data Scientist,80505,0,1,0,0,0
Analytics Engineer,80510,0,0,1,0,0
Data Operations Analyst,81000,0,0,1,0,1
Machine Learning Engineer,81000,0,0,0,0,1
Data Architect,81500,0,0,1,0,1
Data Analyst,81666,0,0,1,0,1
Data Analyst,81666,0,0,1,0,1
Data Analyst,81666,0,0,1,0,1
Data Scientist,82000,1,0,0,0,1
Data Scientist,82500,0,1,0,0,1
Data Engineer,82528,1,1,0,0,0
Research Scientist,82528,1,0,0,0,0
Machine Learning Engineer,82744,0,0,1,0,0
Data Engineer,82762,0,0,1,0,0
Data Engineer,82900,0,1,0,0,1
Machine Learning Engineer,83000,1,0,0,0,1
Data Scientist,83793,1,1,0,0,0
Data Scientist,83793,0,0,0,0,0
Data Scientist,84000,0,1,0,0,0
ML Engineer,84000,0,0,1,0,1
Research Scientist,84229,0,1,0,0,0
Data Engineer,84229,0,1,0,0,0
Data Engineer,84229,0,1,0,0,0
Data Scientist,84229,1,0,0,0,0
Research Scientist,84229,1,0,0,1,0
Machine Learning Engineer,84229,0,1,0,0,0
Data Engineer,84229,0,1,0,0,0
Data Engineer,84229,0,1,0,0,0
Lead Machine Learning Engineer,84229,0,0,1,0,0
Machine Learning Engineer,84491,1,1,0,0,0
Data Analyst,84900,0,0,1,0,1
Data Scientist,85000,0,1,0,0,1
Data Analyst,85000,0,1,0,0,1
Analytics Engineer,85000,0,1,0,0,1
